*******************************************************************************
 Revised: Dec 17, 2009              Jupiter                                 599
 
 PHYSICAL DATA (updated 2009-Jan-28):
  Mass (10^24 kg)       =  1898.13+-.19   Density (g/cm^3)       =  1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      = 66854+-10
  Volumetric mean radius= 69911+-6 km     Flattening             =  0.06487

  Rotation period       = 9h 55m 29.685s  Rot. rate(10^-4 rad/s) =  1.75865
  m = w^2a^3/GM         =  0.089195       Hydrostatic flat., fh  =  0.06509
  Inferred rot. period  =  9.894+-0.02 hr ks = 3*J2/m            =  0.494
  Mom. of inert. I/MRo^2=  0.254          I/MRo^2 (upper bound)  =  0.267 
  Rocky core mass (Mc/M)=  0.0261         Y factor (He/H ratio)  =  0.18+-0.04

  GM (km^3/s^2)         = 126,686,511     GM 1-sigma (km^3/s^2)  = +-100
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  = 28.34

  Geometric albedo      =  0.52           Visual magnitude V(1,0)= -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.12 deg
  Sidereal orbit period = 11.862615 yr    Sidereal orbit period  = 4332.820 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit velocity    = 13.0697 km/s

  Atmos. temp. (1 bar)  = 165+-5 K        Heat flow/mass (x10^7) = 15 erg/gm*s
  Planetary Solar Const =  50.5 W/m^2     Dipole tilt/offset     = 9.6deg/0.1Rp 
  Escape velocity (km/s)=  59.5           Mag.dip.mom(gauss-Rp^3)= 4.2 
  Aroche(ice)/Rp        =  2.76           Hill's sphere rad. Rp  = 740
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Sep 24 09:51:32 2010  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: JUP230}
Center body name: Solar System Barycenter (0)     {source: DE405}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2005-Jan-01 00:00:00.0000 CT 
Stop  time      : A.D. 2015-Jan-01 00:00:00.0000 CT 
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output format   : 02
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
JDCT ,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000, -8.091242585933172E+08, -9.808557439832607E+07,  1.851185650072015E+07,  1.409700922775691E+00, -1.235433259939402E+01,  1.965173146038168E-02,
2453371.750000000, A.D. 2005-Jan-01 06:00:00.0000, -8.090937674125923E+08, -9.835242536970769E+07,  1.851227973708332E+07,  1.413593309864275E+00, -1.235417543054041E+01,  1.953418518541383E-02,
2453372.000000000, A.D. 2005-Jan-01 12:00:00.0000, -8.090631882102991E+08, -9.861927730726266E+07,  1.851270032787408E+07,  1.417911683112638E+00, -1.235435803131935E+01,  1.941000140154170E-02,
2453372.250000000, A.D. 2005-Jan-01 18:00:00.0000, -8.090325093694795E+08, -9.888613263215460E+07,  1.851311834558376E+07,  1.422805733020458E+00, -1.235440514040119E+01,  1.929884123394476E-02,
2453372.500000000, A.D. 2005-Jan-02 00:00:00.0000, -8.090017207751608E+08, -9.915298363007374E+07,  1.851353421532740E+07,  1.428002005436771E+00, -1.235390054172739E+01,  1.921219845106048E-02,
2453372.750000000, A.D. 2005-Jan-02 06:00:00.0000, -8.089708212784250E+08, -9.941981646405230E+07,  1.851394846234668E+07,  1.432991830970446E+00, -1.235276010697967E+01,  1.914610592790744E-02,
2453373.000000000, A.D. 2005-Jan-02 12:00:00.0000, -8.089398202776729E+08, -9.968662066203709E+07,  1.851436134338957E+07,  1.437349559923565E+00, -1.235132977900218E+01,  1.908207455561328E-02,
2453373.250000000, A.D. 2005-Jan-02 18:00:00.0000, -8.089087323478992E+08, -9.995339594076104E+07,  1.851477267331681E+07,  1.441086261838073E+00, -1.235017228975825E+01,  1.899986628105399E-02,
2453373.500000000, A.D. 2005-Jan-03 00:00:00.0000, -8.088775667576114E+08, -1.002201527050363E+08,  1.851518195432428E+07,  1.444631218657454E+00, -1.234963716761440E+01,  1.889285003441010E-02,
2453373.750000000, A.D. 2005-Jan-03 06:00:00.0000, -8.088463218172324E+08, -1.004869040757214E+08,  1.851558874397466E+07,  1.448508311033057E+00, -1.234961858887050E+01,  1.877219353057935E-02,
2453374.000000000, A.D. 2005-Jan-03 12:00:00.0000, -8.088149868525718E+08, -1.007536566915383E+08,  1.851599295949498E+07,  1.452972739798738E+00, -1.234966375872594E+01,  1.865777217834186E-02,
2453374.250000000, A.D. 2005-Jan-03 18:00:00.0000, -8.087835504467515E+08, -1.010204065389160E+08,  1.851639491064519E+07,  1.457835994810418E+00, -1.234930224203483E+01,  1.856374041692987E-02,
