*******************************************************************************
 Revised: Mar 27, 2009               Neptune                                899
 
 PHYSICAL DATA (update 2009-May-26):
  Mass (10^24 kg)       =   102.41        Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Polar radius (km)      = 24342+-30
  Volumetric mean radius= 24624+-21 km    Flattening             =  0.0171 

  Rotation period       = 16.11+-0.01 hr  Rot. rate(10^-4 rad/s) =  1.083   
  m = w^2a^3/GM         =  0.02609        Hydrostatic flat., fh  =  0.01804
  Inferred rot. period  = 16.7+-1.4 hr    ks = 3*J2/m            =  0.407
  Mom. of inert. I/MRo^2=                 I/MRo^2 (upper bound)  =  0.239 
  Rocky core mass (Mc/M)=                 Y factor (He/H ratio)  =  0.235+-.040

  GM (km^3/s^2)         = 6,835,107       GM 1-sigma (km^3/s^2)  = +-15 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03

  Geometric albedo      =  0.41           Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)= +7.84           Obliquity to orbit     = 29.56 deg
  Sidereal orbit period = 164.79132 yr    Sidereal orbit period  = 60190.029 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    = 5.4778 km/s 

  Atmos. temp. (1 bar)  =  72+-2 K        Heat flow/mass (x10^7) =  2 erg/gm*s
  Planetary Solar Const =   1.47 W/m^2    Dipole tilt/offset     = 47deg/0.55Rp 
  Escape velocity (km/s)=  23.5           Mag.dip.mom(gauss-Rp^3)= 0.133
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Sep 24 09:58:11 2010  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: NEP081}
Center body name: Solar System Barycenter (0)     {source: DE405}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2005-Jan-01 00:00:00.0000 CT 
Stop  time      : A.D. 2015-Jan-01 00:00:00.0000 CT 
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output format   : 02
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
JDCT ,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000,  3.170540013415092E+09, -3.191003433127721E+09, -7.354472603285074E+06,  3.820322819957806E+00,  3.862109743078535E+00, -1.682799301244169E-01,
2453371.750000000, A.D. 2005-Jan-01 06:00:00.0000,  3.170622529091648E+09, -3.190920011883667E+09, -7.358107194709301E+06,  3.820014902118741E+00,  3.862086132204484E+00, -1.682480836144331E-01,
2453372.000000000, A.D. 2005-Jan-01 12:00:00.0000,  3.170705037996771E+09, -3.190836590692414E+09, -7.361740576892138E+06,  3.819698380905171E+00,  3.862106083344487E+00, -1.681686278775345E-01,
2453372.250000000, A.D. 2005-Jan-01 18:00:00.0000,  3.170787540110608E+09, -3.190753168545112E+09, -7.365371776436090E+06,  3.819388635739448E+00,  3.862175327094039E+00, -1.680471894052200E-01,
2453372.500000000, A.D. 2005-Jan-02 00:00:00.0000,  3.170870035742255E+09, -3.190669744346446E+09, -7.368999974608183E+06,  3.819100563732354E+00,  3.862296091872291E+00, -1.678923769532321E-01,
2453372.750000000, A.D. 2005-Jan-02 06:00:00.0000,  3.170952525507784E+09, -3.190586316992431E+09, -7.372624565489531E+06,  3.818847522484794E+00,  3.862466947217471E+00, -1.677151692235217E-01,
2453373.000000000, A.D. 2005-Jan-02 12:00:00.0000,  3.171035010286501E+09, -3.190502885448804E+09, -7.376245198997498E+06,  3.818640382121344E+00,  3.862682906276719E+00, -1.675281347767483E-01,
2453373.250000000, A.D. 2005-Jan-02 18:00:00.0000,  3.171117491158494E+09, -3.190419448824464E+09, -7.379861805735350E+06,  3.818486753043030E+00,  3.862935779347346E+00, -1.673445397974569E-01,
2453373.500000000, A.D. 2005-Jan-03 00:00:00.0000,  3.171199969327927E+09, -3.190336006434755E+09, -7.383474601923704E+06,  3.818390444517596E+00,  3.863214754141705E+00, -1.671774065350393E-01,
2453373.750000000, A.D. 2005-Jan-03 06:00:00.0000,  3.171282446037494E+09, -3.190252557850126E+09, -7.387084074054241E+06,  3.818351193870118E+00,  3.863507163370596E+00, -1.670385885205881E-01,
2453374.000000000, A.D. 2005-Jan-03 12:00:00.0000,  3.171364922480160E+09, -3.190169102926643E+09, -7.390690944338322E+06,  3.818364686694900E+00,  3.863799386270445E+00, -1.669379280128760E-01,
2453374.250000000, A.D. 2005-Jan-03 18:00:00.0000,  3.171447399714465E+09, -3.190085641816174E+09, -7.394296119403601E+06,  3.818422865181371E+00,  3.864077817837283E+00, -1.668825565559078E-01,
