*******************************************************************************
 Revised: Nov 24, 2008                Uranus                                799
 
 PHYSICAL DATA (updated 2009-May-26):
  Mass (10^24 kg)       =    86.8103      Density (g/cm^3)       =  1.318
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Volumetric mean radius= 25362+-12 km    Flattening             =  0.02293

  Rotation period       = 17.24+-0.01 hr  Rot. rate(10^-4 rad/s) =  1.012   
  m = w^2a^3/GM         =  0.02954        Hydrostatic flat., fh  =  0.01987
  Inferred rot. period  = 17.14+-0.9 hr   ks = 3*J2/m            =  0.357
  Mom. of inert. I/MRo^2=  0.225          I/MRo^2 (upper bound)  =  0.232 
  Rocky core mass (Mc/M)=  0.0012         Y factor (He/H ratio)  =  0.262+-.048

  GM (km^3/s^2)         = 5,793,966       GM 1-sigma( km^3/s^2)  = +-23
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =  9.19+-0.02

  Geometric albedo      =  0.51           Visual magnitude V(1,0)= -7.19
  Vis. mag. (opposition)= +5.52           Obliquity to orbit     = 97.86 deg
  Sidereal orbit period = 84.016846 yr    Sidereal orbit period  = 30687.153 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8352 km/s

  Atmos. temp. (1 bar)  =  76+-2 K        Heat flow/mass (x10^7) = 
  Planetary Solar Const =   3.71 W/m^2    Dipole tilt/offset     = 58.6dg/0.3Rp 
  Escape velocity (km/s)=  21.3           Mag.dip.mom(gauss-Rp^3)= 0.23
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Sep 24 09:55:37 2010  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: URA090}
Center body name: Solar System Barycenter (0)     {source: DE405}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2005-Jan-01 00:00:00.0000 CT 
Stop  time      : A.D. 2015-Jan-01 00:00:00.0000 CT 
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output format   : 02
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
JDCT ,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000,  2.743770417308731E+09, -1.215647576604476E+09, -4.006519330676943E+07,  2.708651134635952E+00,  5.909003157464446E+00, -1.315760156416923E-02,
2453371.750000000, A.D. 2005-Jan-01 06:00:00.0000,  2.743828921040318E+09, -1.215519940740508E+09, -4.006547742851174E+07,  2.708361080638095E+00,  5.909132388742044E+00, -1.314994700462835E-02,
2453372.000000000, A.D. 2005-Jan-01 12:00:00.0000,  2.743887418508768E+09, -1.215392302085560E+09, -4.006576138360852E+07,  2.708071214643226E+00,  5.909261581493925E+00, -1.314217140825891E-02,
2453372.250000000, A.D. 2005-Jan-01 18:00:00.0000,  2.743945909718144E+09, -1.215264660640465E+09, -4.006604516944516E+07,  2.707781536651944E+00,  5.909390735719882E+00, -1.313427477507023E-02,
2453372.500000000, A.D. 2005-Jan-02 00:00:00.0000,  2.744004394672505E+09, -1.215137016406054E+09, -4.006632878340721E+07,  2.707492046664856E+00,  5.909519851419698E+00, -1.312625710506987E-02,
2453372.750000000, A.D. 2005-Jan-02 06:00:00.0000,  2.744062873375913E+09, -1.215009369383161E+09, -4.006661222288060E+07,  2.707202744682558E+00,  5.909648928593164E+00, -1.311811839826627E-02,
2453373.000000000, A.D. 2005-Jan-02 12:00:00.0000,  2.744121345832429E+09, -1.214881719572616E+09, -4.006689548525065E+07,  2.706913630705654E+00,  5.909777967240069E+00, -1.310985865466918E-02,
2453373.250000000, A.D. 2005-Jan-02 18:00:00.0000,  2.744179812046113E+09, -1.214754066975253E+09, -4.006717856790298E+07,  2.706624704734746E+00,  5.909906967360202E+00, -1.310147787428528E-02,
2453373.500000000, A.D. 2005-Jan-03 00:00:00.0000,  2.744238272021027E+09, -1.214626411591904E+09, -4.006746146822327E+07,  2.706335966770435E+00,  5.910035928953353E+00, -1.309297605712434E-02,
2453373.750000000, A.D. 2005-Jan-03 06:00:00.0000,  2.744296725761232E+09, -1.214498753423400E+09, -4.006774418359727E+07,  2.706047416813321E+00,  5.910164852019307E+00, -1.308435320319346E-02,
2453374.000000000, A.D. 2005-Jan-03 12:00:00.0000,  2.744355173270787E+09, -1.214371092470574E+09, -4.006802671141034E+07,  2.705759054864006E+00,  5.910293736557856E+00, -1.307560931250329E-02,
2453374.250000000, A.D. 2005-Jan-03 18:00:00.0000,  2.744413614553756E+09, -1.214243428734258E+09, -4.006830904904807E+07,  2.705470880923092E+00,  5.910422582568788E+00, -1.306674438506095E-02,
